City,City ID,Country,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Max Temp,Date
Ahipara,2194098,NZ,-35.17,173.16,70.0,85,94,15.44,70.0,1570591902
Dawei,1293625,MM,14.07,98.19,80.62,75,35,4.36,80.62,1570591903
Raudeberg,3146487,NO,61.99,5.14,48.61,66,100,13.87,50.0,1570591903
Hasaki,2112802,JP,35.73,140.83,73.65,46,20,5.82,75.99,1570591903
Sola,151211,TZ,-3.17,33.8,70.61,60,100,6.31,70.61,1570591904
Flinders,6255012,AU,-34.58,150.85,64.11,48,2,17.22,68.0,1570591904
Taxco,3516225,MX,18.56,-99.61,73.99,85,100,4.76,73.99,1570591904
Canutama,3664716,BR,-6.53,-64.38,73.26,97,60,2.17,73.26,1570591905
Yerbogachen,2012956,RU,61.28,108.01,21.18,83,100,8.94,21.18,1570591905
Bilibino,2126682,RU,68.06,166.44,9.41,96,76,2.68,9.41,1570591905
Caboolture,2172832,AU,-27.08,152.95,75.97,40,20,12.75,82.0,1570591906
Namatanai,2090021,PG,-3.66,152.44,82.27,77,19,9.73,82.27,1570591906
Padang,1633419,ID,-0.92,100.36,78.26,84,44,8.66,78.26,1570591906
Freeport,3572375,BS,26.54,-78.7,81.37,81,100,11.63,81.37,1570591907
Grand Gaube,934479,MU,-20.01,57.66,70.39,83,75,11.41,71.01,1570591907
Qaanaaq,3831208,GL,77.48,-69.36,19.29,65,85,10.74,19.29,1570591907
Maine-Soroa,2441447,NE,13.21,12.02,79.52,58,74,9.01,79.52,1570591908
Tromso,3133895,NO,69.65,18.96,30.36,64,0,10.29,35.6,1570591610
Sterling,4787534,US,39.0,-77.4,59.47,72,90,6.93,63.0,1570591908
Hangu,1177203,PK,33.53,71.06,69.8,56,5,4.7,69.8,1570591908
Barrow,3833859,AR,-38.31,-60.23,45.93,56,27,6.55,45.93,1570591908
Kissimmee,4160983,US,28.29,-81.41,75.79,94,90,3.36,78.01,1570591697
Sesheke,898905,NA,-17.47,24.29,64.4,42,0,4.9,64.4,1570591909
Linjiang,2036069,CN,41.81,126.91,55.56,38,0,6.78,55.56,1570591909
Harper,4696310,US,30.3,-99.24,70.7,49,1,10.71,73.99,1570591909
Klyuchi,1503153,RU,52.25,79.17,52.39,60,0,6.02,52.39,1570591910
Khatanga,2022572,RU,71.98,102.47,18.43,89,71,3.44,18.43,1570591910
Naze,2337542,NG,5.43,7.07,70.23,97,100,1.1,70.23,1570591910
San Patricio,3437029,PY,-26.98,-56.83,63.25,78,0,5.12,63.25,1570591910
Rorvik,3141310,NO,64.86,11.24,43.0,67,42,8.99,43.0,1570591911
Westport,4845585,US,41.14,-73.36,56.19,71,1,11.41,61.0,1570591685
Seybaplaya,3516685,MX,19.65,-90.67,73.4,100,75,11.41,73.4,1570591911
Elizabeth City,4465088,US,36.3,-76.22,64.11,93,90,17.22,66.2,1570591632
Severo-Kurilsk,2121385,RU,50.68,156.12,42.93,97,100,32.24,42.93,1570591911
Dzhebariki-Khaya,2024626,RU,62.22,135.8,30.09,93,100,7.7,30.09,1570591912
Luanda,2240449,AO,-8.83,13.24,75.2,83,75,12.75,75.2,1570591912
Riyadh,108410,SA,24.63,46.72,77.0,47,11,3.36,77.0,1570591912
Dunnville,5944222,CA,42.9,-79.62,47.61,87,20,6.93,52.0,1570591912
Te Anau,2181625,NZ,-45.41,167.72,47.12,97,100,2.2,47.12,1570591913
College,5859699,US,64.86,-147.8,33.62,93,90,4.7,35.6,1570591913
Yellowknife,6185377,CA,62.45,-114.38,30.06,86,90,11.41,30.2,1570591913
Nalut,2214433,LY,31.86,10.98,64.83,82,23,5.02,64.83,1570591914
Mahibadhoo,1337605,MV,3.78,72.97,82.79,70,8,5.3,82.79,1570591914
Pittsfield,4247060,US,39.61,-90.81,55.49,76,1,4.7,60.8,1570591845
Galle,2419533,GN,10.08,-12.83,69.87,98,88,2.19,69.87,1570591915
Mackay,5921525,CA,53.65,-115.58,24.8,73,90,8.05,24.8,1570591915
Saint-Pierre,2995603,FR,48.95,4.24,53.11,100,90,9.17,54.0,1570591915
Port-Gentil,2396518,GA,-0.72,8.78,77.93,86,94,10.67,77.93,1570591915
Mahon,2965139,IE,51.89,-8.4,46.9,87,40,10.29,50.0,1570591916
Broome,2656067,GB,52.47,1.45,49.66,87,94,6.93,51.01,1570591916
Aklavik,5882953,CA,68.22,-135.01,33.8,69,75,3.36,33.8,1570591916
Yaan,2338660,NG,7.38,8.57,71.53,93,100,2.51,71.53,1570591917
Tawang,1254832,BT,27.59,91.87,63.5,54,29,3.62,63.5,1570591917
Xining,1788852,CN,36.62,101.77,43.14,92,100,4.05,43.14,1570591917
Victoria,1733782,BN,5.28,115.24,86.72,74,75,4.7,87.8,1570591917
Dunedin,2191562,NZ,-45.87,170.5,53.01,85,100,7.0,53.01,1570591918
Wilmington,4145381,US,39.75,-75.55,57.61,55,90,10.29,61.0,1570591565
Columbia,4575352,US,34.0,-81.03,69.04,64,90,9.17,71.6,1570591801
Micheweni,153955,TZ,-4.97,39.83,79.34,77,29,2.57,79.34,1570591918
Acapulco,3533462,MX,16.86,-99.88,75.11,97,100,2.19,75.11,1570591918
Angoche,1052944,MZ,-16.23,39.91,72.23,85,0,4.38,72.23,1570591919
Avarua,4035715,CK,-21.21,-159.78,71.6,60,100,8.05,71.6,1570591919
Ambovombe,1079048,MG,-25.18,46.09,73.49,81,0,9.37,73.49,1570591919
Nouadhibou,2377457,MR,20.93,-17.03,77.0,57,0,11.41,77.0,1570591920
Kuytun,2021093,RU,54.34,101.51,34.05,68,96,11.36,34.05,1570591920
Saldanha,2737599,PT,41.42,-6.55,53.99,87,1,6.6,53.99,1570591920
Macusani,3935624,PE,-14.07,-70.43,31.71,86,0,2.62,31.71,1570591921
Sibolga,1213855,ID,1.74,98.78,78.84,80,80,1.18,78.84,1570591921
Nome,4732862,US,30.04,-94.42,68.36,88,1,4.47,73.99,1570591921
Richards Bay,962367,ZA,-28.77,32.06,67.05,88,0,5.2,67.05,1570591921
Bellmead,4673389,US,31.59,-97.11,66.47,52,1,5.82,69.8,1570591922
Plettenberg Bay,964712,ZA,-34.05,23.37,56.89,90,100,8.77,56.89,1570591922
San Angelo,5530022,US,31.46,-100.44,71.29,56,1,4.7,73.99,1570591922
Fuxin,2037346,CN,42.02,121.65,67.42,22,100,11.16,67.42,1570591922
Keuruu,652977,FI,62.26,24.71,32.54,100,90,2.24,35.01,1570591923
Saint-Philippe,6138908,CA,45.36,-73.48,43.45,93,1,4.14,46.99,1570591923
Pampierstad,966380,ZA,-27.78,24.69,56.21,25,0,6.23,56.21,1570591923
Nemuro,2128975,JP,43.32,145.57,62.6,48,40,20.8,62.6,1570591924
Buchanan,2278158,LR,5.88,-10.05,74.1,95,100,3.41,74.1,1570591924
Vyartsilya,470762,RU,62.18,30.69,26.6,98,95,3.87,26.6,1570591924
Katsuura,1865309,JP,33.93,134.5,72.43,35,20,14.99,73.4,1570591925
Shelopugino,2016757,RU,51.65,117.56,45.12,42,80,17.14,45.12,1570591925
Sorland,3137469,NO,67.67,12.69,37.4,64,40,3.36,37.4,1570591925
Tura,2014833,RU,64.27,100.22,18.88,75,59,15.26,18.88,1570591925
Hilo,5855927,US,19.71,-155.08,73.58,65,40,3.36,82.4,1570591926
Shache,1280037,CN,38.42,77.24,60.01,67,98,1.01,60.01,1570591926
Zelenogorskiy,1485284,RU,55.03,87.0,42.8,60,0,8.95,42.8,1570591926
Pimentel,3389609,BR,-3.7,-45.5,74.75,84,18,5.17,74.75,1570591926
Biltine,244878,TD,14.53,20.93,80.09,49,95,4.27,80.09,1570591927
Sena Madureira,3662155,BR,-9.07,-68.66,75.88,65,1,0.76,75.88,1570591927
Kozan,306112,TR,37.45,35.82,66.6,72,0,5.82,70.0,1570591927
Calama,3897347,CL,-22.46,-68.93,51.06,11,0,17.22,52.0,1570591927
Sao Miguel do Araguaia,3448455,BR,-13.28,-50.16,73.43,91,97,1.83,73.43,1570591928
Port Keats,2063039,AU,-14.25,129.55,89.01,51,20,11.03,89.01,1570591928
Camacha,2270385,PT,33.08,-16.33,72.63,88,40,9.17,73.4,1570591928
Beloha,1067565,MG,-25.17,45.06,73.69,58,0,5.1,73.69,1570591928
Dongsheng,1788268,CN,29.72,112.52,70.68,62,71,5.64,70.68,1570591929
Yumen,1528998,CN,40.29,97.04,60.44,23,100,13.51,60.44,1570591929
Sabang,1726279,PH,13.8,121.11,84.99,79,94,5.99,84.99,1570591929
Nazira,1261563,IN,26.91,94.73,75.2,94,75,8.05,75.2,1570591929
Sao Sepe,3448207,BR,-30.16,-53.57,60.8,93,2,2.24,60.8,1570591930
Vagur,2610806,FO,61.47,-6.81,49.35,96,100,16.46,49.35,1570591930
Trelew,3833883,AR,-43.25,-65.31,54.25,38,100,16.6,54.25,1570591930
Christiana,1013550,ZA,-27.91,25.16,49.19,53,0,1.69,49.19,1570591931
Mamallapuram,1263997,IN,12.63,80.17,86.0,74,40,8.05,86.0,1570591931
San Andres,1690438,PH,13.32,122.68,87.03,63,47,6.45,87.03,1570591931
Chimbote,3698304,PE,-9.08,-78.59,59.29,92,33,9.42,59.29,1570591932
Tyup,1527121,KG,42.73,78.36,48.56,53,100,3.36,48.56,1570591932
Hermanuv Mestec,3075841,CZ,49.95,15.66,52.0,93,90,1.12,55.99,1570591932
Paraiso,3396016,BR,-0.03,-51.17,82.4,88,40,6.93,82.4,1570591932
Tocopilla,3869716,CL,-22.09,-70.2,58.78,18,0,7.78,58.78,1570591933
Ivanava,627811,BY,52.14,25.53,45.59,86,100,14.52,45.59,1570591933
Avera,4231997,US,33.19,-82.53,70.05,88,75,6.93,73.4,1570591933
Soyo,2236967,AO,-6.13,12.37,76.53,86,99,12.17,76.53,1570591933
Geraldton,5960603,CA,49.72,-86.95,53.6,66,75,9.17,53.6,1570591934
Kang,933692,BW,-23.67,22.79,60.76,19,0,8.68,60.76,1570591934
Pisco,3932145,PE,-13.71,-76.2,60.62,82,90,3.36,62.6,1570591934
Killybegs,2963295,IE,54.63,-8.45,46.99,89,56,5.01,46.99,1570591934
Saint-Francois,2980080,FR,46.42,3.91,54.55,93,77,3.36,55.4,1570591935
Rawson,3839307,AR,-43.3,-65.11,50.85,59,100,11.92,50.85,1570591935
Meulaboh,1214488,ID,4.14,96.13,79.28,79,83,3.78,79.28,1570591935
Port Lincoln,2063036,AU,-34.72,135.86,54.35,66,93,10.47,54.35,1570591936
Panzhihua,6929460,CN,26.59,101.72,72.0,65,0,0.54,72.0,1570591936
Discovery Bay,3490716,JM,18.46,-77.4,79.59,81,36,8.1,79.59,1570591936
Laguna,3581398,BZ,16.17,-88.94,78.8,100,40,1.31,78.8,1570591936
Yar-Sale,1486321,RU,66.83,70.83,35.92,82,100,14.77,35.92,1570591936
Huambo,3348313,AO,-12.78,15.73,62.0,82,100,2.73,62.0,1570591937
Kavieng,2094342,PG,-2.57,150.8,84.68,72,11,9.82,84.68,1570591937
Adiake,2293428,CI,5.29,-3.3,78.8,88,75,12.75,78.8,1570591937
Salalah,286621,OM,17.01,54.1,77.0,83,20,4.7,77.0,1570591938
Saint Anthony,5606187,US,43.97,-111.68,51.98,37,1,10.29,55.4,1570591938
Raja Jang,1167386,PK,31.22,74.25,73.4,73,0,5.55,73.4,1570591938
Am Timan,245338,TD,11.04,20.28,68.83,97,100,4.26,68.83,1570591938
Constitucion,4011743,MX,23.99,-104.67,62.6,45,5,5.82,62.6,1570591939
Tabriz,113646,IR,38.08,46.29,55.4,53,0,4.7,55.4,1570591883
Shitanjing,1794971,CN,39.23,106.34,59.0,39,100,1.99,59.0,1570591939
Clyde River,5924351,CA,70.47,-68.59,23.0,92,1,4.7,23.0,1570591940
Carauari,3664659,BR,-4.88,-66.9,73.76,96,42,2.15,73.76,1570591940
Lethem,3379316,GY,3.38,-59.8,81.86,69,100,2.72,81.86,1570591940
Oranjemund,3354071,ZA,-28.55,16.43,54.68,92,2,9.28,54.68,1570591940
Port Blair,1259385,IN,11.67,92.75,83.33,68,91,4.25,83.33,1570591941
Pine Bluff,4126226,US,34.23,-92.0,55.58,71,1,4.97,57.2,1570591901
Sao Filipe,3374210,CV,14.9,-24.5,75.33,83,2,12.29,75.33,1570591941
Escanaba,4992232,US,45.75,-87.06,52.88,76,1,8.05,57.99,1570591941
Manavalakurichi,1263942,IN,8.13,77.3,84.2,79,20,6.93,84.2,1570591941
Souillac,3026644,FR,45.6,-0.6,54.82,93,75,4.7,60.01,1570591942
Lorengau,2092164,PG,-2.02,147.27,84.67,69,86,7.58,84.67,1570591942
Beyneu,610298,KZ,45.32,55.19,60.91,44,100,10.78,60.91,1570591942
Iquitos,3696183,PE,-3.75,-73.25,73.4,94,40,1.12,73.4,1570591943
Ust-Tarka,1488074,RU,55.56,75.71,49.37,67,53,4.43,49.37,1570591943
Pangnirtung,6096551,CA,66.15,-65.72,27.19,77,100,1.97,27.19,1570591943
Camocim,3403687,BR,-2.9,-40.84,72.89,85,64,6.53,72.89,1570591943
Elliot Lake,5947866,CA,46.37,-82.65,46.4,93,1,6.93,46.4,1570591944
Parksville,4586642,US,33.79,-82.22,67.84,77,1,6.93,71.6,1570591944
Provideniya,4031574,RU,64.42,-173.23,41.0,80,90,6.71,41.0,1570591944
Airai,1651810,TL,-8.93,125.41,86.92,46,0,4.76,86.92,1570591944
Vardo,4372777,US,39.62,-77.74,55.29,76,1,5.82,59.0,1570591945
Kushima,1895695,JP,31.5,131.29,73.8,50,20,13.87,75.2,1570591945
Polson,5671996,US,47.69,-114.16,30.94,79,90,23.04,35.01,1570591945
Taksimo,2015701,RU,56.36,114.84,21.31,55,31,10.89,21.31,1570591945
Dalbandin,1180729,PK,28.9,64.41,77.11,17,0,4.18,77.11,1570591946
La Rioja,3848950,AR,-29.41,-66.86,60.3,49,8,0.7,60.3,1570591946
Jurm,1139085,AF,36.86,70.83,54.62,35,68,3.09,54.62,1570591946
Hualmay,3939761,PE,-11.1,-77.61,59.9,87,23,10.4,59.9,1570591946
Vinstra,3131538,NO,61.6,9.73,27.3,98,100,4.97,27.3,1570591947
Samarai,2132606,PG,-10.62,150.67,80.78,67,41,8.19,80.78,1570591947
Manono,209598,CD,-7.3,27.4,69.87,87,100,1.56,69.87,1570591947
Praia da Vitoria,3372760,PT,38.73,-27.07,64.4,68,40,10.95,64.4,1570591948
Batemans Bay,2176639,AU,-35.71,150.18,57.0,45,67,1.99,60.01,1570591948
Bambous Virieux,1106677,MU,-20.34,57.76,70.5,83,75,11.41,71.01,1570591948
Galatone,3176406,IT,40.14,18.07,56.08,93,5,2.24,59.0,1570591948
Oistins,3373652,BB,13.07,-59.53,82.4,69,40,18.34,82.4,1570591924
Ikot Ekpene,2338106,NG,5.18,7.71,71.06,96,19,2.71,71.06,1570591949
Jiuquan,1280957,CN,39.73,98.49,50.16,41,100,9.74,50.16,1570591949
Luderitz,3355672,NA,-26.65,15.16,59.0,62,0,17.22,59.0,1570591949
Muravlenko,1540711,RU,63.79,74.5,37.0,81,100,17.83,37.0,1570591950
Labuhan,1641899,ID,-2.54,115.51,96.42,33,0,1.83,96.42,1570591950
Boa Esperanca,3736812,BR,-1.91,-60.0,73.22,95,71,0.72,73.22,1570591950
Cap Malheureux,934649,MU,-19.98,57.61,70.39,83,75,11.41,71.01,1570591950
Aswan,359792,EG,24.09,32.9,84.2,30,0,6.93,84.2,1570591951
Caramay,1718517,PH,10.18,119.24,83.8,67,98,6.04,83.8,1570591951
Okha,2122614,RU,53.59,142.95,47.51,96,100,11.65,47.51,1570591951
Namibe,3347019,AO,-15.19,12.15,66.11,87,86,7.67,66.11,1570591952
Rio Grande,3451138,BR,-32.03,-52.1,54.0,95,12,0.29,54.0,1570591952
Muros,3115824,ES,42.77,-9.06,50.92,100,20,2.0,57.99,1570591952
Kargasok,1504382,RU,59.06,80.87,36.05,81,89,10.81,36.05,1570591952
Ridgecrest,5387494,US,35.62,-117.67,77.41,11,1,9.17,82.4,1570591813
Ambon,3037899,FR,47.55,-2.56,55.04,93,75,4.7,57.99,1570591953
Amalapuram,1278935,IN,16.58,82.0,82.4,78,84,5.82,82.4,1570591953
Lasa,146639,CY,34.92,32.53,65.41,88,0,5.82,66.2,1570591953
Utinga,3392998,BR,-5.82,-35.4,77.56,83,40,6.93,78.8,1570591953
Komsomolskiy,1486910,RU,67.55,63.78,33.28,91,100,4.05,33.28,1570591954
Paamiut,3421193,GL,61.99,-49.67,40.75,92,100,12.01,40.75,1570591954
Santo Antonio do Sudoeste,3449479,BR,-26.07,-53.73,63.28,80,4,3.38,63.28,1570591954
Biak,1637001,ID,-0.91,122.88,76.26,55,33,5.73,76.26,1570591954
Havre-Saint-Pierre,5972291,CA,50.23,-63.6,42.8,70,20,9.17,42.8,1570591955
Muzhi,1498161,RU,65.4,64.7,34.66,97,100,2.84,34.66,1570591955
Palmer,2067070,AU,-34.85,139.16,61.14,51,0,17.22,64.0,1570591955
Alto Araguaia,3472473,BR,-17.32,-53.22,67.46,85,41,4.26,67.46,1570591956
Ayagoz,1525988,KZ,47.96,80.43,55.45,48,16,11.72,55.45,1570591956
Boende,218680,CD,-0.28,20.88,69.87,97,97,1.83,69.87,1570591956
Svetlogorsk,584051,RU,53.14,59.15,39.2,93,68,4.47,39.2,1570591956
